Ms. Pacman Rolling Horizon Agent Test Run.
Chromosome Size: 10
Population Size: 20
Computational Budget: 40
Mutation Rate: 50

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.081237525			0.06955192732623272
1			0.11101606			0.06106447469362274
2			0.13686912			0.06085002861374419
3			0.13591863			0.055032707064687277
4			0.15768464			0.07771869446158486

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.13263474			0.07887003416882173
1			0.17783481			0.060547892115878965
2			0.2320122			0.027283909577360786
3			0.2272598			0.03951070957243306
4			0.2462694			0.018381406843749053
5			0.24817035			0.020737029768341
6			0.25577417			0.013969145854938999
7			0.26242748			0.009693032030972033

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.09680639			0.08651606644605132
1			0.15122138			0.06478621288492474
2			0.20920068			0.05315894504473259
3			0.24436842			0.04145226631917972
4			0.23011121			0.052111972693331586
5			0.23866554			0.05127309151049872
6			0.23201215			0.05461746440029329
7			0.24047144			0.06794701933145206
8			0.2785857			0.019755353313004237
9			0.28618947			0.01496817162339935
10			0.2909419			0.01584766658961744
11			0.28324306			0.0638125258612884
12			0.2994963			0.005859150546960496

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.043113768			0.04119907096439518
1			0.09020056			0.06732712739106664
2			0.09001044			0.0714004704267067
3			0.12650888			0.05471660912185529
4			0.15692426			0.06125989355982747
5			0.18629405			0.07932380374058436
6			0.21670945			0.0824094099634918
7			0.2727878			0.07208123072700273
8			0.24303778			0.11908676931381891
9			0.21718472			0.13761721756929648
10			0.26024148			0.10657988362440586
11			0.27459374			0.08949253118008609
12			0.288946			0.06516578817763753
13			0.288946			0.06516578817763753

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.059880234			0.06693326218664565
1			0.0754681			0.05900773981413878
2			0.10645375			0.05058304454381535
3			0.115768455			0.0696549397683768
4			0.14162152			0.05898798401004086
5			0.16547857			0.049897934071199336
6			0.19779491			0.029936354913083208
7			0.20520866			0.0773458249362861
8			0.24531893			0.02657946376257312
9			0.24626943			0.02125338169408292
10			0.24626943			0.02125338169408292
11			0.23476861			0.05662499820607121
12			0.24626943			0.02125338169408292
13			0.23476861			0.05662499820607121
14			0.24626943			0.02125338169408292
15			0.2510218			0.029295763352284624

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.026347306			0.05509704905597615
1			0.04828438			0.06448598226481125
2			0.08782436			0.07272494783062766
3			0.07632355			0.07048589796464437
4			0.114913024			0.05456764634854854
5			0.117669426			0.0673013657919737
6			0.14048095			0.08300330205892513
7			0.190191			0.06593344824554716
8			0.18895543			0.09038430325352573
9			0.19551373			0.10687672831855602
