Ms. Pacman Rolling Horizon Agent Test Run.
Chromosome Size: 10
Population Size: 20
Computational Budget: 40
Mutation Rate: 50

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.11766467			0.06473492659845491
1			0.11358236			0.0909212433484457
2			0.14228685			0.08155916247353871
3			0.13468301			0.07936752899465195

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.12275448			0.07237421074207953
1			0.14266706			0.07036120661580106
2			0.18353769			0.06000834588279517
3			0.22725976			0.03381892446155435
4			0.24246745			0.037202523676848245
5			0.24721988			0.046969484928006934
6			0.2519723			0.03727529788586636
7			0.2738333			0.037202518983000185

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.11776447			0.08387984102185106
1			0.13496818			0.07791733560215486
2			0.17973578			0.06828919282125483
3			0.20159681			0.059721613866704104
4			0.23476857			0.06266827951211675
5			0.24056648			0.06532778562198961
6			0.21870549			0.06527244833077442
7			0.2358141			0.06376013869183597
8			0.26908088			0.035639837687583484

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.037924152			0.06221336335512851
1			0.053607073			0.06499490828584772
2			0.06814942			0.0621142778320856
3			0.09020056			0.05559764002674654
4			0.065963306			0.06317783267540415
5			0.09210151			0.054238850477595066
6			0.12261191			0.053376022778126773
7			0.14162153			0.06510336835689652
8			0.15578368			0.06739151248882605
9			0.1653835			0.0629516317512843
10			0.1958939			0.027645739314901416
11			0.20444822			0.012752026871096814
12			0.20444822			0.012752026871096814
13			0.20729966			0.017577457746451187
14			0.19095142			0.07275973047075346

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.018363273			0.05442773055797548
1			0.040680543			0.07758060862876809
2			0.043246835			0.05515814811693264
3			0.049995247			0.05146478077488327
4			0.07328202			0.047543005278274535
5			0.09609353			0.0541022653568485
6			0.13306722			0.06318940352625202
7			0.17593387			0.02550405031875757
8			0.17298739			0.0386811476485599
9			0.18163675			2.9802322387695312E-8
10			0.18163675			2.9802322387695312E-8
11			0.17298739			0.0386811476485599
12			0.18163675			2.9802322387695312E-8
13			0.18163675			2.9802322387695312E-8
14			0.17298739			0.0386811476485599
15			0.17298739			0.0386811476485599
16			0.16433801			0.05331827900400934

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.050499003			0.07995774361959652
1			0.05284669			0.058720897764323945
2			0.09875486			0.08247395955641737
3			0.12612869			0.09786473906956182
4			0.15758958			0.09010500344768049
5			0.19370782			0.09410107957297206
6			0.25482363			0.04540469793104096
7			0.2689858			0.06029669542229041
8			0.25558403			0.08303072557043242
9			0.2689858			0.060296697352998536
10			0.2689858			0.06029669349158222
11			0.2689858			0.0602966992837066
12			0.24218228			0.09896107615467722
13			0.2689858			0.06029670121441461
14			0.25558403			0.08303072557043242
15			0.28238755			0.004250676527105519
16			0.24218228			0.09896108086017655
17			0.2689858			0.06029669542229041

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.18253493			0.23165172112891994
1			0.37230304			0.23015100590985157
2			0.4579413			0.2095383583302501
3			0.47695082			0.2022235104391514
4			0.5065108			0.17392167777822318
5			0.42819124			0.27314636535356074
6			0.5569813			0.13359909771929365
7			0.6007985			0.05405214476500724
8			0.570193			0.18878833896112346
9			0.65782726			0.019755350366579317
10			0.66353023			0.012752034859111248
11			0.6320693			0.14190764396132358
12			0.66353023			0.012752034859111248
13			0.6377722			0.14412861879996608
14			0.67683697			0.025855861605938786
15			0.696797			0.026579479092209285
16			0.71105415			0.024344171381374378
17			0.6882427			0.09249496326233354
18			0.7158066			0.02125338169408292
19			0.6939455			0.05756488139199949
20			0.720559			1.1920928955078125E-7
21			0.720559			1.1920928955078125E-7
22			0.720559			1.1920928955078125E-7
23			0.720559			1.1920928955078125E-7

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.09051897			0.06015331660587033
1			0.08877482			0.07756627383664826
2			0.109875485			0.07270271625358807
3			0.15777971			0.04707515224727437
4			0.18733959			0.01862552806701491
5			0.19114152			0.019104413707591264
6			0.20159678			0.00615981540945722
7			0.20064631			0.007484090429603435
8			0.20254725			0.00425067353159875
9			0.20349775			0.005859151167865964
10			0.19114152			0.03295301983869892
11			0.1968444			0.04218674654641025
12			0.2053987			0.046349904861431
13			0.19760479			0.08092366394876296
14			0.2271647			0.06613593621940377
15			0.25577414			0.04361864374320412
16			0.2757342			0.017577456090703682
17			0.28143707			5.9604644775390625E-8
18			0.28143707			5.9604644775390625E-8
19			0.28143707			5.9604644775390625E-8
20			0.28143707			5.9604644775390625E-8
21			0.28143707			5.9604644775390625E-8
22			0.26803532			0.05993452865171257
23			0.26803532			0.059934526709337674
24			0.26803532			0.05993452865171257
25			0.28143707			5.9604644775390625E-8

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.044510975			0.0718842896905791
1			0.06948009			0.07960859323591302
2			0.08896494			0.07332138547991218
3			0.12593861			0.08660380299482795
4			0.14228687			0.08783114327865553
5			0.19009599			0.05762605679669395
6			0.17555366			0.08982453970158141
7			0.15739949			0.0927134621153402
8			0.19570382			0.06608384771771209
9			0.21195702			0.04758478996106318
10			0.22250734			0.0042506743874580425
11			0.22345781			0.005859151478318673
12			0.22725976			0.009017042253690615
13			0.2128125			0.06960719400043887
14			0.22906572			0.05139628137587914
15			0.24056652			0.004250674173493236
16			0.24151702			5.9604644775390625E-8
17			0.24151702			5.9604644775390625E-8
18			0.24151702			5.9604644775390625E-8
19			0.24151702			5.9604644775390625E-8
20			0.2300162			0.05143317717783805
21			0.2300162			0.051433188494979576
22			0.2185154			0.07089574955870748
23			0.2185154			0.07089575284283438
24			0.20701459			0.08451332921220964
25			0.24151702			5.9604644775390625E-8
26			0.2300162			0.05143317717783805

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.05968064			0.07782870073743099
1			0.108925			0.07473094096320472
2			0.15673415			0.06112392074464924
3			0.16994584			0.0726526150511978
4			0.18809998			0.06227479534513704
5			0.18230206			0.07549312990514867
6			0.21680446			0.012172080310866947
7			0.22535878			0.007837856947545853
8			0.22725977			0.009017043060602359
9			0.19655927			0.08074908209561725
10			0.21661443			0.07052011105222938
11			0.20701459			0.08451332921220964
12			0.2300162			0.051433181704694964
13			0.24151702			5.9604644775390625E-8
14			0.2185154			0.07089575612696113
15			0.20701459			0.08451332645725193
16			0.20701459			0.08451332921220964
17			0.2185154			0.07089574299045322
18			0.20701459			0.08451333196716725
19			0.19551377			0.09483809148666349
20			0.2185154			0.07089574299045322
21			0.2185154			0.07089574299045322
22			0.20701459			0.08451332921220964
23			0.24151702			5.9604644775390625E-8
24			0.2185154			0.07089574627458042
25			0.2185154			0.07089574299045322
26			0.2185154			0.07089574955870748
27			0.24151702			5.9604644775390625E-8

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.005189621			0.015885515201307304
1			0.01758388			0.0352114056021183
2			0.03212622			0.04716947318179547
3			0.053607076			0.04704616756391926
4			0.074137434			0.0398454082602075
5			0.07765421			0.04737816409639117
6			0.10065582			0.04376317665590101
7			0.08335708			0.051003501614104
8			0.089059964			0.04937265276233789
9			0.099610284			0.04328954492794804
10			0.08991539			0.05183210753684568
11			0.09856476			0.04781093624462437
12			0.08896491			0.05251605928903147
13			0.09096092			0.04982437417885745
14			0.10436269			0.04260589318611832
15			0.10436269			0.04260589318611832
16			0.12175649			0.0
17			0.11595856			0.02592912336174282
18			0.10056077			0.04440827486732286
19			0.09476284			0.0489758260315279
20			0.11795456			0.017002696693972943
21			0.09276683			0.05185824896836137
22			0.12175649			0.0
23			0.11016063			0.03574082842311836
24			0.11016063			0.03574083330893043
25			0.10436269			0.04260589318611832
26			0.11595856			0.02592912336174282
27			0.11016063			0.035740830051722454
28			0.11595856			0.02592912336174282
29			0.10436269			0.04260589318611832
30			0.11595856			0.02592912336174282
31			0.10436269			0.04260589318611832
32			0.11595856			0.02592912336174282
33			0.12175649			0.0

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.018263472			0.04657279138874211
1			0.03393213			0.058010283812467055
2			0.056078322			0.0648886243822715
3			0.055317935			0.05863529163230251
4			0.103602305			0.05095140441073469
5			0.07166618			0.06637440296464035
6			0.089820355			0.07423790571563889
7			0.09552323			0.07365882626504265
8			0.14247696			0.07337545985357205
9			0.14618382			0.08799895392244549
10			0.20321262			0.10632528309664428
11			0.26803532			0.05993452865171257
12			0.26803532			0.059934526709337674
13			0.28143707			5.9604644775390625E-8
14			0.26803532			0.0599345305940874
15			0.28143707			5.9604644775390625E-8
16			0.28143707			5.9604644775390625E-8
17			0.28143707			5.9604644775390625E-8
18			0.25463358			0.082614048882425
19			0.28143707			5.9604644775390625E-8
20			0.26803532			0.0599345305940874
21			0.25463358			0.082614048882425
22			0.28143707			5.9604644775390625E-8
23			0.28143707			5.9604644775390625E-8
24			0.26803532			0.05993452865171257
25			0.28143707			5.9604644775390625E-8
26			0.26803532			0.05993452865171257

Generation Evolution for Next Move: 
