Ms. Pacman Rolling Horizon Agent Test Run.
Chromosome Size: 10
Population Size: 20
Computational Budget: 40
Mutation Rate: 50

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.12155688			0.08496736359684019
1			0.17869022			0.08951382597295561
2			0.19171183			0.1078310197320862
3			0.14884517			0.10636801494146265

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.13672654			0.07081610086377192
1			0.19589397			0.07266045014741514
2			0.23581405			0.07939779772261907
3			0.27858567			0.04454091232863251
4			0.29759526			0.06270286672008067
5			0.3099515			0.06477226372850302
6			0.31185246			0.04989793873733706
7			0.31945628			0.06368926065428673

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.08572854			0.04930776104831752
1			0.11890503			0.051641775008769646
2			0.15217184			0.04250675928004334
3			0.1778348			0.03408501319628778
4			0.18543863			0.050276711993812194
5			0.19589393			0.04273990902120754
6			0.21395305			0.03668902137224102
7			0.22821023			0.023320676802340807
8			0.21965592			0.03792402961629494
9			0.22155689			0.05116726348569136
10			0.23866549			0.04580090945699678
11			0.2671799			0.02056202718810207

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.061876245			0.04041607646064676
1			0.07993537			0.04127753879412232
2			0.09514304			0.04282436713669949
3			0.11415265			0.04629140145794605
4			0.13696416			0.03074035394585822
5			0.16167662			0.02754752827106126
6			0.19019103			0.018034092576497223
7			0.19779487			0.011718304819353405
8			0.20159678			2.9802322387695312E-8
9			0.20159678			2.9802322387695312E-8
10			0.20159678			2.9802322387695312E-8
11			0.20159678			2.9802322387695312E-8
12			0.20159678			2.9802322387695312E-8
13			0.20159678			2.9802322387695312E-8
14			0.20159678			2.9802322387695312E-8
15			0.20159678			2.9802322387695312E-8
16			0.20159678			2.9802322387695312E-8

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.20958085			0.1274009874345654
1			0.26337796			0.08052759680753328
2			0.26708484			0.11231761526252375
3			0.32420874			0.06044334551021883
4			0.35272318			0.051008107484387256
5			0.3660299			0.02125337416252403
6			0.3660299			0.02125337416252403
7			0.35272318			0.04794038586341471
8			0.3660299			0.02125337416252403
9			0.3660299			0.02125337416252403
10			0.34892124			0.05859152074387829
11			0.3660299			0.02125337416252403
12			0.3660299			0.02125337416252403
13			0.3660299			0.02125337416252403
14			0.3660299			0.02125337416252403
15			0.35272318			0.04794038586341471

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.15359281			0.14560800981255156
1			0.18629408			0.14755722716813915
2			0.26527897			0.1421595268190505
3			0.33371356			0.14595979858168076
4			0.4088015			0.10055342398762439
5			0.4667808			0.04656381930811966
6			0.48008755			0.05280086290723308
7			0.47248358			0.11097438561715668
8			0.5133543			0.05280084967843377
9			0.4961506			0.13902437378583354
10			0.5399677			0.03967044676314705
11			0.5675316			0.018818540734326296
12			0.5770364			0.011718301093920991
13			0.55127835			0.1235616565069198
14			0.5789373			0.008501349630775248

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.016966067			0.03391745139756249
1			0.027563907			0.04098763106608529
2			0.05902482			0.07164626901643772
3			0.109400235			0.05761194811452883
4			0.12650888			0.0564236265981278
5			0.14836991			0.02975472572509551
6			0.12166145			0.04912611156490951
7			0.14171655			1.4901161193847656E-8
8			0.14171655			1.4901161193847656E-8
9			0.14171655			1.4901161193847656E-8
10			0.14171655			1.4901161193847656E-8
11			0.14171655			1.4901161193847656E-8
12			0.14171655			1.4901161193847656E-8
13			0.14171655			1.4901161193847656E-8
14			0.14171655			1.4901161193847656E-8
15			0.14171655			1.4901161193847656E-8
16			0.14171655			1.4901161193847656E-8
17			0.14171655			1.4901161193847656E-8
