Ms. Pacman Rolling Horizon Agent Test Run.
Chromosome Size: 5
Population Size: 50
Computational Budget: 40
Mutation Rate: 50

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.0566467			0.03436123791931451
1			0.082853906			0.05318583299529691

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.10818365			0.07557887862509781
1			0.14876129			0.06528797032391173
2			0.19650897			0.07662942598435675
3			0.24660486			0.04290859796692352

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.1229541			0.07826896753863503
1			0.17263517			0.06089107100311423
2			0.20468871			0.06390565215532984
3			0.23212405			0.03608715226717241
4			0.2513014			0.030456847798994997

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.040199604			0.052435409391266084
1			0.07530039			0.053922030309134554
2			0.095495306			0.06135755079013919
3			0.13858566			0.07335105751851881
4			0.19216473			0.0768805603452975
5			0.23447229			0.04326765313574859
6			0.24770075			0.05915342305210244

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.020598803			0.03827016545889947
1			0.030566316			0.02761365206742382
2			0.044694923			0.035431318913197785
3			0.06809908			0.03373159209558214
4			0.08246252			0.036355008796535866
5			0.08715902			0.03618524104903459
6			0.08848971			0.03784408562414526
7			0.10610156			0.02601386699915521

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.04067864			0.06505992657851666
1			0.058510445			0.06836029801426764
2			0.08164065			0.07915467080669354
3			0.12015188			0.07228553020995902
4			0.1532621			0.07520423873335841
5			0.20277089			0.03522367270736383
6			0.22108723			0.04868319938406277
7			0.2239052			0.0545766955358296

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.0			0.0
1			3.9137412E-5			2.767433065940117E-4
2			4.6964895E-4			0.0030512123812586854
3			5.0878635E-4			0.0030577325448787117
4			5.870612E-4			0.003069230959883025
5			9.0016035E-4			0.0030950739972709722
6			0.001682909			0.0030199248829394605
7			0.0022308335			0.0028406330554477167
8			0.0023482458			0.0027867386699276667
9			0.0023091084			0.0028053619952309425
10			0.0023091084			0.00280535972583915
11			0.0023482458			0.0027867386699276667

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
