Ms. Pacman Rolling Horizon Agent Test Run.
Chromosome Size: 5
Population Size: 50
Computational Budget: 40
Mutation Rate: 50

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			3.1936128E-4			7.317484908616996E-4
1			5.4792385E-4			8.907525516562297E-4
2			0.0011741221			9.823411976116185E-4
3			0.0018785963			4.6964895771544176E-4
4			0.0019568712			2.7674340929461364E-4
5			0.0019177337			3.8744068131549926E-4
6			0.0019960087			6.984920789913299E-10
7			0.0019568712			2.767433065940117E-4
8			0.0019960087			6.984920789913299E-10
9			0.0019568712			2.7674342213218617E-4
10			0.0019568712			2.767432937564338E-4
11			0.0019960087			6.984920789913299E-10
12			0.0019960087			6.984920789913299E-10
13			0.0019960087			6.984920789913299E-10

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			3.5928146E-4			7.668411430311466E-4
1			8.6102297E-4			9.885584710284038E-4
2			0.0013306718			9.409270705471144E-4
3			0.0018003214			5.935481404149465E-4
4			0.0019177337			3.874406079579158E-4
5			0.0019960087			6.984920789913299E-10
6			0.0019960087			6.984920789913299E-10
7			0.0019960087			6.984920789913299E-10
8			0.0019960087			6.984920789913299E-10
9			0.0019960087			6.984920789913299E-10
10			0.0019960087			6.984920789913299E-10
11			0.0019960087			6.984920789913299E-10
12			0.0019960087			6.984920789913299E-10
13			0.0019960087			6.984920789913299E-10
14			0.0019960087			6.984920789913299E-10

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			2.3952094E-4			6.486257303892943E-4
1			9.0016035E-4			0.003095074144197133
2			0.0015263591			0.0030512123812586854
3			0.0021525584			0.0028733338293188224
4			0.002113421			0.002888753807545439
5			0.0021916959			0.002857302471894161
6			0.0021916959			0.002857302471894161
7			0.0023091084			0.0028053602121375456
8			0.0023482458			0.0027867386699276667
9			0.0023091084			0.0028053598879386244
10			0.0021525584			0.0028733338293188224
11			0.0023091084			0.002805360698435857
12			0.0023091084			0.002805360698435857
13			0.0023482458			0.0027867386699276667
14			0.0023873833			0.002767433712953954
15			0.0023873833			0.002767433712953954
16			0.0023482458			0.0027867386699276667

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			1.9960079E-4			5.988022754015799E-4
1			4.3051157E-4			8.20953171264968E-4
2			0.0014872217			0.0030577325448787117
3			0.0019177337			0.0029568825588926445
4			0.0027004825			0.003909432895137464
5			0.0034832305			0.0054029470478671226
6			0.0039137425			0.00595480596886021
7			0.004696491			0.006889737182372759
8			0.006144575			0.008308570902306063
9			0.011271575			0.010083789108200781
10			0.014167741			0.010125779588116963
11			0.018981643			0.007461812350103871
12			0.018511996			0.007984798349487272

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.0043512974			0.02029926838815344
1			0.005870613			0.02343249764305633
2			0.007162147			0.016455597685356902
3			0.0127196545			0.023935657769050964
4			0.02097765			0.03048023227598453
5			0.017650967			0.027630290220593493
6			0.027278775			0.03201593034153236
7			0.046847474			0.03253794999069747
8			0.055653386			0.03371769459988907
9			0.06625961			0.030670952668231482
10			0.06899922			0.029761528782389097
11			0.06739459			0.031197651215240194

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			5.9880246E-4			9.14685848564039E-4
1			9.784352E-4			9.97812203429181E-4
2			0.0014089467			9.094712568342825E-4
3			0.0018394588			5.366253009184103E-4
4			0.0017611838			6.430931825134812E-4
5			0.0018394588			5.36625274436515E-4
6			0.002269971			0.002823323620279814
7			0.002269971			0.00282332329814361
8			0.0023482458			0.0027867386699276667
9			0.0027396206			0.0038921547300098986
10			0.0031701317			0.004696487858473513
11			0.003091857			0.004731906122848348
12			0.0034832305			0.005402946374534773
13			0.0042659785			0.006471059657352982
14			0.004696491			0.0068897400865298684
15			0.007827483			0.009124137465149174

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.030019958			0.06092365952879552
1			0.057610262			0.07921954469169323
2			0.085593514			0.07106774084934503
3			0.12394823			0.06263634963204867
4			0.14829169			0.06651123947514839
5			0.17960162			0.06846763349159868
6			0.22073506			0.05259619596772354
7			0.24112567			0.013969373468538744
8			0.24269117			0.008302307163961362
9			0.24269117			0.008302307163961362
10			0.2438653			0.01162322294340332
11			0.2407343			0.033993263699059695

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.016566865			0.043337281930582214
1			0.021369027			0.035376621356297815
2			0.037963293			0.042157728454519074
3			0.05616221			0.043252592652675115
4			0.05565342			0.044327638391312124
5			0.09788269			0.03535821474039031
6			0.117060035			0.01609875374529618
7			0.11823416			0.01408946699664471
8			0.121756524			3.7252907247875314E-8
9			0.11823416			0.014089460283298383
10			0.11940828			0.011623217935526096
11			0.121756524			3.7252907247875314E-8
12			0.11940828			0.011623220439464978
13			0.121756524			3.7252907247875314E-8
14			0.1205824			0.008302301029314558

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.17948104			0.19659931658320912
1			0.23826855			0.20883834050370664
2			0.28989077			0.23043155370002819
3			0.36789158			0.22216250234732768
4			0.3745841			0.21403765743086972
5			0.3913741			0.23223088535555658
6			0.40397635			0.22434928596606973

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.17628744			0.19621377896182904
1			0.27599698			0.19972798766820118
2			0.2816328			0.21341105378263686
3			0.3459748			0.20243252496886427
4			0.33137646			0.22410515290127497
5			0.34894916			0.22837991026384682
6			0.3737231			0.22721050755935232
7			0.3520801			0.24077853159821197
8			0.40201938			0.20917520099747408

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.046706587			0.048162970000698135
1			0.07905758			0.055817000782713073
2			0.103361934			0.04623849678198792
3			0.12993625			0.038893792796502194
4			0.15737158			0.03607865734294093
5			0.17694028			0.01609875374529618
6			0.18163677			4.470349305544511E-8
7			0.17807527			0.025183651363948303

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.041516967			0.04418171372265724
1			0.07749208			0.04413877394685633
2			0.099056795			0.036231180914077114
3			0.11471176			0.03326449787773389
4			0.122930646			0.04301198767145877
5			0.12840988			0.04269387365780361
6			0.13310637			0.04613900801557136
7			0.1475872			0.0373511188959869
8			0.15181406			0.046414028460668805

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.049860295			0.03976915847802949
1			0.06774688			0.03242505959876281
2			0.07870534			0.03431616680743467
3			0.09240344			0.03587002659125944
4			0.09005521			0.0506462954027448
5			0.093538426			0.04670865624448323
6			0.09788268			0.04472294068144
7			0.08727644			0.05069782437667914

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.052295417			0.03916247805706801
1			0.06774683			0.034750849418198504
2			0.078313924			0.03002633006474199
3			0.083793156			0.031436873645282845
4			0.093186125			0.027740671557939262
5			0.103753224			0.02938174828415391
6			0.12293056			0.027784813597920798
7			0.13819414			0.014089469578700138
8			0.13819414			0.014089471127933169
9			0.14171652			4.470349305544511E-8
10			0.13819414			0.014089463381766316

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.038323373			0.09503096896860402
1			0.07166063			0.1341220859786973
2			0.09240345			0.13625891877215165
3			0.1491527			0.17037679897745367
4			0.23525494			0.18033472922434768
5			0.30022302			0.17634521719284849
6			0.31822625			0.17902534219160166
7			0.40941647			0.10132885154722468
8			0.4023718			0.13717651706648876
9			0.4599039			0.008302297523800063
10			0.44542304			0.07748808818746358
11			0.44542304			0.07748811823473975

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.021556878			0.03900957694781781
1			0.05052641			0.04845142010663522
2			0.082227714			0.04480507687097658
3			0.10727568			0.033324299265793646
4			0.11706003			0.027267288480733662
5			0.12840986			0.010205786768251329
6			0.12606157			0.02858905975413764
7			0.13232355			0.02914095754727693
8			0.14171652			4.470349305544511E-8
9			0.14171652			4.470349305544511E-8
10			0.14171652			4.470349305544511E-8
11			0.14171652			4.470349305544511E-8
12			0.14171652			4.470349305544511E-8
13			0.14171652			4.470349305544511E-8
14			0.14171652			4.470349305544511E-8
15			0.14171652			4.470349305544511E-8

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.040319376			0.036333921121366804
1			0.061876263			0.03579308144773239
2			0.08144496			0.03318611929669613
3			0.09436032			0.01894024659540593
4			0.095534444			0.014517815160176261
5			0.09709995			0.012861863225994537
6			0.10023095			0.007748809870401156
7			0.099056825			0.014799945339634508
8			0.099056825			0.014799945831255074
9			0.1010137			0.005534865454056095
10			0.099839576			0.013837170076522473
11			0.10179645			4.470349305544511E-8
12			0.0978827			0.019372022798047932
13			0.10179645			4.470349305544511E-8
14			0.10179645			4.470349305544511E-8
15			0.1010137			0.0055348651254140575

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.0035928148			0.007822722958591107
1			0.0043442543			0.009392978040797402
2			0.009823491			0.01584944603319315
3			0.017650967			0.019490277259094066
4			0.029392194			0.018523202867733384
5			0.028609447			0.018818544600703063
6			0.03956791			0.009392979590030664
7			0.037219673			0.012861867751594728
8			0.03956791			0.009392974167713123
9			0.03956791			0.009392977653489044
10			0.030957691			0.017815051186280715
11			0.038002413			0.011870960950383223
12			0.04035066			0.007748812217844388
13			0.03721967			0.01286187058009404

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.0019960087			6.984918939541737E-10
1			0.0043442547			0.016604595047600125
2			0.0066924994			0.02324642710726351
3			0.016085466			0.03858560985461607
4			0.03017495			0.05080029011451935
5			0.059919395			0.06126725507867075
6			0.09001607			0.054858742132667865
7			0.11588591			0.029656739203505193
8			0.1205824			0.018712440543091832
9			0.122930646			0.008302291389146134
10			0.122930646			0.008302291389146134
11			0.12289151			0.022367639980992428
12			0.12762713			0.017806438871738432
13			0.135846			0.025400148494700105

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.044111785			0.060446095809628834
1			0.06880358			0.06612258870973564
2			0.100152634			0.05887206260527337
3			0.13815504			0.04355010636147429
4			0.15459274			0.03984046301887351
5			0.17928848			0.032268789109683456
6			0.20003137			0.007748812452588672
7			0.20198824			0.0027674314124596262
8			0.20081411			0.00880374319800032
9			0.20159686			0.0039526854153343624
10			0.20198824			0.0027674314124596262
11			0.20198824			0.0027674314124596262
12			0.2023796			0.0038744047004562127
13			0.20355372			0.005935480475191612
14			0.20433646			0.00686858700398611

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.0031936134			0.008383232730320657
1			0.0066924994			0.016098760072704388
2			0.011388985			0.021776726499072228
3			0.025478452			0.02923540381821192
4			0.040742066			0.028615849260893556
5			0.058353912			0.014089472677166027
6			0.057179783			0.01609875012963323
7			0.059528034			0.011623219187495605
8			0.060702156			0.008302301467503765
9			0.05483154			0.01929279436757503
10			0.06187628			2.9802322387695312E-8
11			0.06187628			2.9802322387695312E-8
12			0.06187628			2.9802322387695312E-8
13			0.06187628			2.9802322387695312E-8
14			0.06187628			2.9802322387695312E-8
15			0.06187628			2.9802322387695312E-8
16			0.06187628			2.9802322387695312E-8

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.05908185			0.07883699642710534
1			0.10336191			0.07972705749795408
2			0.15971981			0.053068374861228174
3			0.16911279			0.07014884048322372
4			0.18746823			0.07868011962227274
5			0.241517			0.07684897294761255
6			0.26096833			0.08735327968490918
7			0.28965607			0.05033686028149342
8			0.2817503			0.06462415126648104
9			0.29000828			0.052393998040603365
10			0.2974052			0.062120057632833445
11			0.29619193			0.07868532765160739

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			1.1976049E-4			4.740255283806093E-4
1			1.5654965E-4			5.366253274003043E-4
2			1.9568705E-4			5.935481164727352E-4
3			3.9137414E-4			7.924720836028033E-4
4			5.4792385E-4			8.9075242402612E-4
5			0.0010567099			9.96275845541422E-4
6			0.0017220464			6.868589751568877E-4
7			0.0017611838			6.430931825134812E-4
8			0.0018394588			5.366251155451154E-4
9			0.0019568712			2.7674339645704046E-4
10			0.0027004832			0.005559443261879082
11			0.002778758			0.005534868083191689
12			0.0025830707			0.005594054867910079
13			0.0026613455			0.005571277203722778
14			0.0035223686			0.007761651014530159
15			0.004305117			0.009406828433113945
16			0.0058706133			0.011887088197430281
17			0.0059097502			0.011870967692508934
18			0.013698094			0.01821677116110226
19			0.021486439			0.020036599251145034
20			0.033266798			0.016495850179713643
21			0.040272385			0.008136257437548148
22			0.037806727			0.012464514997227059
23			0.041916154			1.4901161193847656E-8

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.0018363277			5.415033919950966E-4
1			0.0018003214			5.935481164727352E-4
2			0.0019960087			6.984920789913299E-10
3			0.0019568712			2.7674337078189236E-4
4			0.0018785963			4.6964895771544176E-4
5			0.0018785963			4.6964895771544176E-4
6			0.0019177337			3.8744068131549926E-4
7			0.0019177337			3.874407730124591E-4
8			0.0019568712			2.7674333226916577E-4

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.0019960087			6.984918939541737E-10
1			0.0019960087			6.984920789913299E-10
2			0.0019960087			6.984920789913299E-10
3			0.0019960087			6.984920789913299E-10
4			0.0019960087			6.984920789913299E-10
5			0.0019960087			6.984920789913299E-10
6			0.0019960087			6.984920789913299E-10
7			0.0019960087			6.984920789913299E-10
8			0.0019960087			6.984920789913299E-10
9			0.0019960087			6.984920789913299E-10
10			0.0019960087			6.984920789913299E-10
11			0.002778758			0.0055348670972659875
12			0.002778758			0.005534868083191689
13			0.002778758			0.005534868083191689
14			0.002778758			0.005534868083191689

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.017165665			0.022426460850927858
1			0.02939219			0.027938752145583765
2			0.03956791			0.021522015549071117
3			0.041916154			0.019364121756666523
4			0.0426989			0.018523212294987382
5			0.041133408			0.020139618978315583
6			0.044264395			0.016604596800357647
7			0.04269891			0.026796966467776323
8			0.050526384			0.03289405997930444
9			0.058314726			0.0462638130213213
10			0.08575006			0.054915249816301255
11			0.1225392			0.048403981555526915
12			0.15224443			0.030389631040286136
13			0.15533626			0.031382690665554845

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			7.185629E-4			9.580838067674383E-4
1			0.0017220468			0.0030107831968209774
2			0.0021525584			0.0028733338293188224
3			0.0022308335			0.0028406332155343343
4			0.0023091084			0.0028053603742369923
5			0.002269971			0.0028233234592117164
6			0.0023091084			0.0028053610226346846
7			0.0022308335			0.0028406330554477167
8			0.0023091084			0.0028053603742369923
9			0.0023091084			0.0028053598879386244
10			0.0023091084			0.0028053610226346846
11			0.0023482458			0.0027867386699276667
12			0.0023091084			0.0028053618331315895
13			0.0019568712			2.7674343496975816E-4
14			0.0017611838			6.430931825134812E-4

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			6.7864277E-4			9.455266340830292E-4
1			0.0012915343			9.538613970365592E-4
2			0.001682909			7.258908441481616E-4
3			0.0018785963			4.6964895771544176E-4
4			0.0018785963			4.6964895771544176E-4
5			0.0019177337			3.874405529397191E-4
6			0.0027396206			0.005547304380278939
7			0.0034049563			0.007798858883488614
8			0.0027396206			0.00554730470818403
9			0.003561507			0.007748810339889859
10			0.0034440937			0.007786672244870065
11			0.0027004832			0.005559443589068201
12			0.0025047958			0.005615635396279286
13			0.002622208			0.00558280684168383
14			0.0034832316			0.007774267860672357
15			0.00500959			0.010776938708779243
16			0.0113107115			0.016981217320779833

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.005668663			0.01837784717353181
1			0.0057532014			0.018163654492010444
2			0.011897769			0.026147408801471154
3			0.014285153			0.023170864339287237
4			0.023756405			0.033936166071560026
5			0.047356255			0.03797680244986029
6			0.06261984			0.04280404744015222
7			0.09389067			0.0410793354585936
8			0.1190169			0.015820410074710172
9			0.122147895			0.002767434370237696
10			0.12332202			0.005366251060116299
11			0.12054325			0.025002348871453754
12			0.12441784			0.0296468945649584
13			0.13741142			0.008209535617827434
14			0.13893776			0.019648763916260095
15			0.14171652			4.470349305544511E-8
16			0.14171652			4.470349305544511E-8

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			2.3952094E-4			6.486259275718404E-4
1			5.870613E-4			9.094711943326692E-4
2			9.0016035E-4			9.931962290256554E-4
3			0.0015263591			8.466714055290207E-4
4			0.0017220464			6.868589958465125E-4
5			0.0018003214			5.935481404149465E-4
6			0.0019568712			2.7674334510674193E-4
7			0.0019177337			3.8744064463670926E-4
8			0.0018785963			4.6964895771544176E-4
9			0.0019960087			6.984920789913299E-10
10			0.0019568712			2.7674331943158907E-4
11			0.0019568712			2.7674338361946674E-4
12			0.0018785963			4.69648942586211E-4
13			0.0018394588			5.366254333278675E-4
14			0.0018785963			4.6964895771544176E-4
15			0.0018785963			4.6964895771544176E-4
16			0.0018394588			5.36625194990821E-4
17			0.0018003214			5.935481404149465E-4
18			0.0019568712			2.7674340929461364E-4
19			0.0019960087			6.984920789913299E-10

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			4.7904198E-4			8.524616203619249E-4
1			8.218856E-4			9.823412554768667E-4
2			0.0011741221			9.823411976116185E-4
3			0.001604634			7.924719760089387E-4
4			0.0018785963			4.69648942586211E-4
5			0.0018003214			5.935481404149465E-4
6			0.0018003214			5.935481164727352E-4
7			0.0018394588			5.36625194990821E-4
8			0.0018785963			4.6964895771544176E-4
9			0.0019568712			2.767432937564338E-4
10			0.0019568712			2.7674333226916577E-4
11			0.0019960087			6.984920789913299E-10
12			0.0019568712			2.7674331943158907E-4
13			0.0019177337			3.874407179942858E-4
14			0.0019568712			2.7674333226916577E-4
15			0.0018394588			5.366252214727204E-4
16			0.0019177337			3.8744068131549926E-4
17			0.0018785963			4.69648942586211E-4
18			0.0019177337			3.874406629761047E-4
19			0.0018394588			5.36625194990821E-4
20			0.0019177337			3.8744049792151453E-4
21			0.0018785963			4.69648942586211E-4
22			0.0017611838			6.430932267088004E-4
23			0.0018785963			4.6964895771544176E-4

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			5.1896216E-4			8.755174001757314E-4
1			9.392978E-4			9.96275845541422E-4
2			0.0014872217			8.698727262134949E-4
3			0.0019177337			3.874407179942858E-4
4			0.0017220464			6.868590165361367E-4
5			0.0017220464			6.868590372257603E-4
6			0.0018394588			5.366253274003043E-4
7			0.0019177337			3.874405346003184E-4
8			0.0018785963			4.69648942586211E-4
9			0.0019177337			3.8744049792151453E-4
10			0.0019177337			3.8744058961851776E-4
11			0.0018785963			4.69648942586211E-4
12			0.0018785963			4.696489274569797E-4
13			0.0019177337			3.8744049792151453E-4
14			0.0019960087			6.984920789913299E-10
15			0.0019568712			2.7674338361946674E-4
16			0.0019960087			6.984920789913299E-10
17			0.0019568712			2.7674338361946674E-4
18			0.0019960087			6.984920789913299E-10
19			0.0019568712			2.767433065940117E-4
20			0.0019568712			2.7674340929461364E-4
21			0.0019568712			2.7674340929461364E-4

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			5.1896216E-4			8.755173027874523E-4
1			0.0010175726			9.978119185888735E-4
2			0.0013306718			9.409270403410435E-4
3			0.0015263591			8.466716740790603E-4
4			0.001604634			7.924719401443138E-4
5			0.0016437715			7.609181151434395E-4
6			0.0015654966			8.209531366445889E-4
7			0.001682909			7.258910399193704E-4
8			0.0016437715			7.609181151434395E-4
9			0.0018394588			5.366253274003043E-4
10			0.0017611838			6.430932930017734E-4
11			0.0018003214			5.935481404149465E-4
12			0.0018785963			4.69648942586211E-4
13			0.0018003214			5.935481164727352E-4
14			0.0018785963			4.6964895771544176E-4
15			0.0019177337			3.8744064463670926E-4
16			0.0019960087			6.984920789913299E-10
17			0.0019568712			2.7674337078189236E-4
18			0.0018785963			4.6964895771544176E-4
19			0.0019568712			2.7674335794431745E-4

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			5.9880246E-4			9.146857553460966E-4
1			0.0016829091			0.0030199266899269815
2			0.001682909			7.258910790736058E-4
3			0.0019177337			3.874406079579158E-4
4			0.0018785963			4.69648942586211E-4
5			0.0018785963			4.696489274569797E-4
6			0.0023091084			0.0028053602121375456
7			0.0023482458			0.0027867386699276667
8			0.0019568712			2.7674343496975816E-4
9			0.0019960087			6.984920789913299E-10
10			0.0018785963			4.696489274569797E-4
11			0.0019960087			6.984920789913299E-10
12			0.0019568712			2.7674333226916577E-4
13			0.0019960087			6.984920789913299E-10
14			0.0019568712			2.7674338361946674E-4
15			0.0019960087			6.984920789913299E-10
16			0.0019960087			6.984920789913299E-10
17			0.0019177337			3.8744057127911886E-4
18			0.0019960087			6.984920789913299E-10
19			0.0019960087			6.984920789913299E-10
20			0.0019960087			6.984920789913299E-10
21			0.0019960087			6.984920789913299E-10

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.0017165674			0.005826290111971677
1			0.0023873828			0.0063614863683127305
2			0.0037180549			0.009593059580623614
3			0.0044616666			0.009799054045907
4			0.005361827			0.011035643929174766
5			0.005870613			0.011587582960525908
6			0.008140583			0.013461451031300985
7			0.017103046			0.017638253482365127
8			0.030527176			0.015000915158717725
9			0.041133408			0.0038744068131549925
10			0.041916154			1.4901161193847656E-8
11			0.041916154			1.4901161193847656E-8
12			0.041916154			1.4901161193847656E-8
13			0.041916154			1.4901161193847656E-8
14			0.041916154			1.4901161193847656E-8
15			0.041916154			1.4901161193847656E-8

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			3.992016E-5			2.794411703437964E-4
1			3.9137412E-5			2.767433065940117E-4
2			0.0			0.0
3			0.0			0.0
4			0.0			0.0
5			0.0			0.0
6			0.0			0.0
7			0.0			0.0
8			3.9137412E-5			2.767433065940117E-4
9			0.0			0.0
10			0.0			0.0
11			0.0			0.0
12			8.2188565E-4			0.005811610219732489
13			0.0			0.0
14			0.0			0.0
15			0.0			0.0
16			4.3051154E-4			0.0030441768183481557
17			0.0			0.0
18			0.0			0.0
19			0.0			0.0
20			0.0			0.0
21			0.0			0.0
22			0.0			0.0
23			8.610231E-4			0.0058126667857836
24			0.0			0.0
25			0.0			0.0
26			0.0			0.0
27			0.0			0.0
28			0.0			0.0
29			0.0			0.0
30			0.0			0.0
31			0.0			0.0
32			0.0			0.0
33			0.0			0.0
34			0.0			0.0
35			8.2188565E-4			0.005811611784693911
36			0.0			0.0
37			3.9137412E-5			2.767432937564338E-4
38			0.0012132598			0.008579042549967058
39			8.2188565E-4			0.005811609280755433
40			0.0			0.0
41			0.0			0.0
42			0.0			0.0
43			0.0			0.0
44			0.0			0.0
45			0.0			0.0
46			0.0			0.0
47			0.0			0.0
48			0.0			0.0

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.0			0.0
1			0.0			0.0
2			0.0			0.0
3			0.0			0.0
4			3.9137412E-5			2.767433065940117E-4
5			0.0			0.0
6			0.001996008			0.014113902006565211
7			7.8274825E-5			3.874407179942858E-4
8			0.0			0.0
9			0.0			0.0
10			0.0			0.0
11			0.0			0.0
12			0.0			0.0
13			0.0			0.0
14			0.0			0.0
15			0.0			0.0
16			0.0			0.0
17			0.0			0.0
18			0.0			0.0
19			4.3051154E-4			0.003044177415878895
20			0.0			0.0
21			0.0			0.0
22			0.0			0.0
23			0.0			0.0
24			0.0			0.0
25			3.9137412E-5			2.7674334510674193E-4
26			0.0			0.0
27			0.0			0.0
28			0.0			0.0
29			0.0			0.0
30			0.0			0.0
31			0.0			0.0
32			0.0			0.0
33			0.0			0.0
34			0.0			0.0
35			3.9137412E-5			2.767432937564338E-4
36			0.0			0.0
37			0.0			0.0
38			0.0			0.0
39			0.0			0.0
40			0.0			0.0
41			3.9137412E-5			2.7674333226916577E-4
42			0.0			0.0
43			0.0			0.0
44			0.0			0.0
45			0.0			0.0
46			0.0			0.0
47			0.0			0.0
48			0.0			0.0
49			0.0			0.0
50			0.0			0.0

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.0			0.0
1			0.0			0.0
2			0.0			0.0
3			0.0			0.0
4			0.0			0.0
5			3.9137412E-5			2.767432937564338E-4
6			0.0			0.0
7			3.9137412E-5			2.7674331943158907E-4
8			0.0			0.0
9			0.0			0.0
10			0.0			0.0
11			0.0			0.0
12			0.0			0.0
13			8.2188565E-4			0.00581161147170166
14			0.0			0.0
15			0.0			0.0
16			0.0			0.0
17			0.0			0.0
18			0.0			0.0
19			0.0			0.0
20			0.0			0.0
21			0.0			0.0
22			0.0			0.0
23			0.0			0.0
24			0.0			0.0
25			0.0			0.0
26			0.0			0.0
27			0.0			0.0
28			0.0			0.0
29			0.0			0.0
30			0.0			0.0
31			0.0			0.0
32			0.0			0.0
33			0.0			0.0
34			0.0			0.0
35			0.0			0.0
36			4.3051154E-4			0.0030441772664962213
37			0.0			0.0
38			0.0			0.0
39			0.0			0.0
40			0.0			0.0
41			0.0			0.0
42			0.0			0.0
43			0.0			0.0
44			0.0			0.0
45			0.0			0.0
46			0.0			0.0
47			0.0			0.0
48			0.0			0.0
49			0.0			0.0
50			0.0			0.0
51			0.0			0.0
52			0.0			0.0
53			0.0			0.0
54			0.0			0.0
55			0.0			0.0

Generation Evolution for Next Move: 
Generation	Average Fitness		Standard Deviation
0			0.073053926			0.04265297333696112
1			0.094321184			0.061797089745139984
